uri:/instrument/1.0/^gdaxi/chartdata;type=quote;range=1d/csv
ticker:^gdaxi
Company-Name:DAX
Exchange-Name:GER
unit:MIN
timezone:CEST
currency:EUR
gmtoffset:7200
previous_close:11100.2998
Timestamp:1434697200,1434729600
labels:1434697200,1434700800,1434704400,1434708000,1434711600,1434715200,1434718800,1434722400,1434726000,1434729600
values:Timestamp,close,high,low,open,volume
close:11008.1299,11244.8896
high:11023.7695,11246.2695
low:10997.9004,11239.9600
open:11007.9902,11244.9199
volume:0,0
1434697379,11122.4004,11123.9102,11121.6396,11121.6602,0
1434697439,11148.7305,11148.7305,11121.6602,11122.2803,0
1434697499,11130.8496,11151.1396,11130.8496,11148.7305,0
1434697559,11130.6602,11130.9902,11125.2695,11130.4102,0
1434697619,11147.3496,11147.3496,11130.5303,11130.5303,0
1434697679,11145.3799,11159.5703,11145.3799,11147.3496,0
1434697739,11149.3896,11151.4502,11142.1797,11145.2197,0
1434697799,11160.6699,11160.6699,11144.3301,11146.1299,0
1434697859,11177.9404,11177.9404,11159.8398,11159.8398,0
1434697919,11169.1299,11180.6904,11169.1299,11177.6396,0
1434697979,11171.5996,11171.9102,11168.4502,11168.9404,0
1434698039,11164.1797,11172.8496,11164.1797,11170.7197,0
1434698099,11149.0801,11163.8896,11148.4199,11163.8896,0
1434698159,11156.9902,11158.4600,11147.7803,11149.0801,0
1434698219,11165.0098,11165.0098,11154.0098,11157.2695,0
1434698279,11158.5898,11168.9600,11157.4199,11164.6299,0
1434698339,11160.9199,11169.7598,11158.8496,11158.8496,0
1434698399,11159.9600,11164.3701,11159.3701,11160.9199,0
1434698459,11166.7402,11170.7305,11158.2002,11159.7998,0
1434698519,11159.4297,11166.9697,11159.4297,11166.1797,0
1434698579,11157.0400,11158.2500,11150.5703,11158.2500,0
1434698639,11168.9102,11169.3496,11157.3398,11157.3398,0
1434698699,11169.4502,11172.3604,11168.6299,11168.8203,0
1434698759,11165.8096,11169.2402,11165.3096,11169.2402,0
1434698819,11166.0098,11170.3496,11165.7197,11165.7197,0
1434698879,11169.6299,11169.6299,11165.7100,11166.0703,0
1434698939,11180.1299,11185.5000,11168.7197,11169.6299,0
1434698999,11173.4297,11180.2500,11173.3301,11178.7500,0
1434699059,11167.1201,11173.5596,11163.5400,11173.4297,0
1434699119,11181.8301,11181.8301,11165.6396,11167.0303,0
1434699179,11186.3496,11188.4297,11181.8301,11181.8301,0
1434699239,11187.9697,11188.7197,11185.7598,11186.9697,0
1434699299,11191.4004,11191.4004,11186.9600,11187.9199,0
1434699359,11185.2900,11191.9004,11184.2803,11191.8096,0
1434699419,11187.7998,11187.7998,11184.2002,11185.1797,0
